Country,Code,Year,Month,Employment million people,Unemployment rate percent,Labor cost index,Minimum wage
Ukraine,UKR,1999,1,,,,
Ukraine,UKR,1999,2,,,,
Ukraine,UKR,1999,3,19.38,14,,
Ukraine,UKR,1999,4,,,,
Ukraine,UKR,1999,5,,,,
Ukraine,UKR,1999,6,20.14,11,,
Ukraine,UKR,1999,7,,,,
Ukraine,UKR,1999,8,,,,
Ukraine,UKR,1999,9,20.62,10.2,,
Ukraine,UKR,1999,10,,,,
Ukraine,UKR,1999,11,,,,
Ukraine,UKR,1999,12,19.85,12.4,,
Ukraine,UKR,2000,1,,,,
Ukraine,UKR,2000,2,,,,
Ukraine,UKR,2000,3,20.06,11.5,,
Ukraine,UKR,2000,4,,,,90
Ukraine,UKR,2000,5,,,,90
Ukraine,UKR,2000,6,20.61,11.5,,90
Ukraine,UKR,2000,7,,,,118
Ukraine,UKR,2000,8,,,,118
Ukraine,UKR,2000,9,20.73,11.7,,118
Ukraine,UKR,2000,10,,,,118
Ukraine,UKR,2000,11,,,,118
Ukraine,UKR,2000,12,20.13,12.2,,118
Ukraine,UKR,2001,1,,,,118
Ukraine,UKR,2001,2,,,,118
Ukraine,UKR,2001,3,20.01,12.1,,118
Ukraine,UKR,2001,4,,,,118
Ukraine,UKR,2001,5,,,,118
Ukraine,UKR,2001,6,20.52,10.6,,118
Ukraine,UKR,2001,7,,,,118
Ukraine,UKR,2001,8,,,,118
Ukraine,UKR,2001,9,20.63,10.3,,118
Ukraine,UKR,2001,10,,,,118
Ukraine,UKR,2001,11,,,,118
Ukraine,UKR,2001,12,19.9,11.2,,118
Ukraine,UKR,2002,1,,,,140
Ukraine,UKR,2002,2,,,,140
Ukraine,UKR,2002,3,19.78,10.5,,140
Ukraine,UKR,2002,4,,,,140
Ukraine,UKR,2002,5,,,,140
Ukraine,UKR,2002,6,20.25,9.6,,140
Ukraine,UKR,2002,7,,,,165
Ukraine,UKR,2002,8,,,,165
Ukraine,UKR,2002,9,20.43,9.1,,165
Ukraine,UKR,2002,10,,,,165
Ukraine,UKR,2002,11,,,,165
Ukraine,UKR,2002,12,19.9,9.3,,165
Ukraine,UKR,2003,1,,,,185
Ukraine,UKR,2003,2,,,,185
Ukraine,UKR,2003,3,19.97,9.4,,185
Ukraine,UKR,2003,4,,,,185
Ukraine,UKR,2003,5,,,,185
Ukraine,UKR,2003,6,20.46,8.7,,185
Ukraine,UKR,2003,7,,,,185
Ukraine,UKR,2003,8,,,,185
Ukraine,UKR,2003,9,20.12,9.1,,185
Ukraine,UKR,2003,10,,,,185
Ukraine,UKR,2003,11,,,,185
Ukraine,UKR,2003,12,20.1,9,,205
Ukraine,UKR,2004,1,,,,205
Ukraine,UKR,2004,2,,,,205
Ukraine,UKR,2004,3,19.97,9.3,,205
Ukraine,UKR,2004,4,,,,205
Ukraine,UKR,2004,5,,,,205
Ukraine,UKR,2004,6,20.46,8.3,,205
Ukraine,UKR,2004,7,,,,205
Ukraine,UKR,2004,8,,,,205
Ukraine,UKR,2004,9,20.66,8.1,,237
Ukraine,UKR,2004,10,,,,237
Ukraine,UKR,2004,11,,,,237
Ukraine,UKR,2004,12,20.09,8.7,,237
Ukraine,UKR,2005,1,,,,262
Ukraine,UKR,2005,2,,,,262
Ukraine,UKR,2005,3,20.03,8.7,,262
Ukraine,UKR,2005,4,,,,290
Ukraine,UKR,2005,5,,,,290
Ukraine,UKR,2005,6,20.72,7.1,,290
Ukraine,UKR,2005,7,,,,310
Ukraine,UKR,2005,8,,,,310
Ukraine,UKR,2005,9,21.5,5.2,,332
Ukraine,UKR,2005,10,,,,332
Ukraine,UKR,2005,11,,,,332
Ukraine,UKR,2005,12,20.48,7.8,,332
Ukraine,UKR,2006,1,,,,350
Ukraine,UKR,2006,2,,,,350
Ukraine,UKR,2006,3,20.43,7.9,,350
Ukraine,UKR,2006,4,,,,350
Ukraine,UKR,2006,5,,,,350
Ukraine,UKR,2006,6,21.04,5.8,,350
Ukraine,UKR,2006,7,,,,375
Ukraine,UKR,2006,8,,,,375
Ukraine,UKR,2006,9,21.17,5.5,,375
Ukraine,UKR,2006,10,,,,375
Ukraine,UKR,2006,11,,,,375
Ukraine,UKR,2006,12,20.28,8.2,,400
Ukraine,UKR,2007,1,,,,400
Ukraine,UKR,2007,2,,,,400
Ukraine,UKR,2007,3,20.54,7.4,,400
Ukraine,UKR,2007,4,,,,420
Ukraine,UKR,2007,5,,,,420
Ukraine,UKR,2007,6,21.12,5.8,,420
Ukraine,UKR,2007,7,,,,440
Ukraine,UKR,2007,8,,,,440
Ukraine,UKR,2007,9,21.56,5.4,,440
Ukraine,UKR,2007,10,,,,460
Ukraine,UKR,2007,11,,,,460
Ukraine,UKR,2007,12,20.4,6.9,,460
Ukraine,UKR,2008,1,,,,515
Ukraine,UKR,2008,2,,,,515
Ukraine,UKR,2008,3,20.72,7.1,,515
Ukraine,UKR,2008,4,,,,525
Ukraine,UKR,2008,5,,,,525
Ukraine,UKR,2008,6,21.43,5.4,,525
Ukraine,UKR,2008,7,,,,525
Ukraine,UKR,2008,8,,,,525
Ukraine,UKR,2008,9,21.61,5.5,,525
Ukraine,UKR,2008,10,,,,545
Ukraine,UKR,2008,11,,,,545
Ukraine,UKR,2008,12,20.14,7.5,,605
Ukraine,UKR,2009,1,,,,605
Ukraine,UKR,2009,2,,,,605
Ukraine,UKR,2009,3,20.01,9.5,,605
Ukraine,UKR,2009,4,,,,625
Ukraine,UKR,2009,5,,,,625
Ukraine,UKR,2009,6,20.35,8.6,,625
Ukraine,UKR,2009,7,,,,630
Ukraine,UKR,2009,8,,,,630
Ukraine,UKR,2009,9,20.74,7.8,,630
Ukraine,UKR,2009,10,,,,650
Ukraine,UKR,2009,11,,,,744
Ukraine,UKR,2009,12,19.67,9.4,,744
Ukraine,UKR,2010,1,,,,869
Ukraine,UKR,2010,2,,,,869
Ukraine,UKR,2010,3,20.09,9,,869
Ukraine,UKR,2010,4,,,,884
Ukraine,UKR,2010,5,,,,884
Ukraine,UKR,2010,6,20.34,7.9,,884
Ukraine,UKR,2010,7,,,,888
Ukraine,UKR,2010,8,,,,888
Ukraine,UKR,2010,9,20.78,7.1,,888
Ukraine,UKR,2010,10,,,,907
Ukraine,UKR,2010,11,,,,907
Ukraine,UKR,2010,12,19.86,8.4,,922
Ukraine,UKR,2011,1,,,,941
Ukraine,UKR,2011,2,,,,941
Ukraine,UKR,2011,3,20.11,8.7,,941
Ukraine,UKR,2011,4,,,,960
Ukraine,UKR,2011,5,,,,960
Ukraine,UKR,2011,6,20.39,7.7,,960
Ukraine,UKR,2011,7,,,,960
Ukraine,UKR,2011,8,,,,960
Ukraine,UKR,2011,9,20.78,6.9,,960
Ukraine,UKR,2011,10,,,,985
Ukraine,UKR,2011,11,,,,985
Ukraine,UKR,2011,12,20.02,8.2,,1004
Ukraine,UKR,2012,1,,,,1073
Ukraine,UKR,2012,2,,,,1073
Ukraine,UKR,2012,3,20.04,8.4,,1073
Ukraine,UKR,2012,4,,,,1094
Ukraine,UKR,2012,5,,,,1094
Ukraine,UKR,2012,6,20.54,7.1,,1094
Ukraine,UKR,2012,7,,,,1102
Ukraine,UKR,2012,8,,,,1102
Ukraine,UKR,2012,9,20.86,6.6,,1102
Ukraine,UKR,2012,10,,,,1118
Ukraine,UKR,2012,11,,,,1118
Ukraine,UKR,2012,12,19.98,8,,1134
Ukraine,UKR,2013,1,,,,1147
Ukraine,UKR,2013,2,,,,1147
Ukraine,UKR,2013,3,20.08,8,,1147
Ukraine,UKR,2013,4,,,,1147
Ukraine,UKR,2013,5,,,,1147
Ukraine,UKR,2013,6,20.68,6.9,,1147
Ukraine,UKR,2013,7,,,,1147
Ukraine,UKR,2013,8,,,,1147
Ukraine,UKR,2013,9,20.86,6.2,,1147
Ukraine,UKR,2013,10,,,,1147
Ukraine,UKR,2013,11,,,,1147
Ukraine,UKR,2013,12,19.99,7.6,,1218
Ukraine,UKR,2014,1,,,,1218
Ukraine,UKR,2014,2,,,,1218
Ukraine,UKR,2014,3,18.37,9,,1218
Ukraine,UKR,2014,4,,,,1218
Ukraine,UKR,2014,5,,,,1218
Ukraine,UKR,2014,6,18.6,8.2,,1218
Ukraine,UKR,2014,7,,,,1218
Ukraine,UKR,2014,8,,,,1218
Ukraine,UKR,2014,9,18.05,9.5,,1218
Ukraine,UKR,2014,10,,,,1218
Ukraine,UKR,2014,11,,,,1218
Ukraine,UKR,2014,12,17.27,10.6,,1218
Ukraine,UKR,2015,1,,,,1218
Ukraine,UKR,2015,2,,,,1218
Ukraine,UKR,2015,3,16.25,9.6,,1218
Ukraine,UKR,2015,4,,,,1218
Ukraine,UKR,2015,5,,,,1218
Ukraine,UKR,2015,6,16.56,8.8,,1218
Ukraine,UKR,2015,7,,,,1218
Ukraine,UKR,2015,8,,,,1218
Ukraine,UKR,2015,9,16.73,8.6,,1378
Ukraine,UKR,2015,10,,,,1378
Ukraine,UKR,2015,11,,,,1378
Ukraine,UKR,2015,12,16.22,9.5,,1378
Ukraine,UKR,2016,1,,,,1378
Ukraine,UKR,2016,2,,,,1378
Ukraine,UKR,2016,3,16.05,9.9,,1378
Ukraine,UKR,2016,4,,,,1378
Ukraine,UKR,2016,5,,,,1450
Ukraine,UKR,2016,6,16.42,9,,1450
Ukraine,UKR,2016,7,,,,1450
Ukraine,UKR,2016,8,,,,1450
Ukraine,UKR,2016,9,16.52,8.8,,1450
Ukraine,UKR,2016,10,,,,1450
Ukraine,UKR,2016,11,,,,1450
Ukraine,UKR,2016,12,16.1,9.7,,1600
Ukraine,UKR,2017,1,,,,3200
Ukraine,UKR,2017,2,,,,3200
Ukraine,UKR,2017,3,15.89,10.1,,3200
Ukraine,UKR,2017,4,,,,3200
Ukraine,UKR,2017,5,,,,3200
Ukraine,UKR,2017,6,16.36,9.1,,3200
Ukraine,UKR,2017,7,,,,3200
Ukraine,UKR,2017,8,,,,3200
Ukraine,UKR,2017,9,16.43,8.9,,3200
Ukraine,UKR,2017,10,,,,3200
Ukraine,UKR,2017,11,,,,3200
Ukraine,UKR,2017,12,15.96,9.9,,3200
Ukraine,UKR,2018,1,,,,3723
Ukraine,UKR,2018,2,,,,3723
Ukraine,UKR,2018,3,16.03,9.7,,3723
Ukraine,UKR,2018,4,,,,3723
Ukraine,UKR,2018,5,,,,3723
Ukraine,UKR,2018,6,16.53,8.3,,3723
Ukraine,UKR,2018,7,,,,3723
Ukraine,UKR,2018,8,,,,3723
Ukraine,UKR,2018,9,16.66,8,,3723
Ukraine,UKR,2018,10,,,,3723
Ukraine,UKR,2018,11,,,,3723
Ukraine,UKR,2018,12,16.22,9.3,,3723
Ukraine,UKR,2019,1,,,,4173
Ukraine,UKR,2019,2,,,,4173
Ukraine,UKR,2019,3,16.26,9.2,,4173
Ukraine,UKR,2019,4,,,,4173
Ukraine,UKR,2019,5,,,,4173
Ukraine,UKR,2019,6,16.71,7.8,,4173
Ukraine,UKR,2019,7,,,,4173
Ukraine,UKR,2019,8,,,,4173
Ukraine,UKR,2019,9,,,,4173
Ukraine,UKR,2019,10,,,,
Ukraine,UKR,2019,11,,,,
Ukraine,UKR,2019,12,,,,
